facet,name
technology,LLM
technology,NLP
technology,Computer Vision
technology,Agents
technology,RAG
technology,Multimodal
technology,Speech
technology,Traditional ML
technology,Data Science
technology,Data Analytics
technology,Model Training
technology,Fine-tuning
technology,MLOps
technology,Vibe Coding
technology,On-device AI (Edge AI)
technology,Embedded/IoT
technology,Brain-Computer Interface (BCI)
technology,Others
category,Productivity
category,Education
category,Finance
category,Healthcare
category,Developer Tools
category,Social
category,Content/Media
category,Research
category,Sports
category,Marketing
category,Business/Management
category,Computer Science
category,Mathematics
category,Physics
category,Chemistry
category,Biology
category,Psychology
category,Economics
category,Engineering
category,Web3/Crypto
category,Design
category,Architecture
category,Travel
category,Health & Fitness
category,Education/ Study tools
category,Hardware & IoT
category,Others
